No,add,year,struc,dis,bus,rent,mng,space
4,神奈川県川崎市幸区南加瀬４丁目,33,0,12,1,4,5500,16.5
5,神奈川県川崎市幸区南加瀬４丁目,33,0,12,1,3.7,3000,16.5
6,神奈川県川崎市幸区南加瀬４丁目,33,0,12,1,3.8,5000,16.5
7,神奈川県川崎市幸区南加瀬４丁目,26,0,27,0,7.5,0,40
8,神奈川県川崎市幸区南加瀬４丁目,26,0,27,0,7.5,0,40
9,神奈川県川崎市幸区南加瀬４丁目,26,0,27,0,7.5,0,38.88
10,神奈川県川崎市幸区南加瀬２丁目,30,0,23,0,11.7,0,56.63
11,神奈川県川崎市幸区南加瀬２丁目,30,0,23,0,11.7,0,61.1
12,神奈川県川崎市幸区北加瀬３丁目,28,0,22,0,5.8,0,15.7
13,神奈川県川崎市幸区北加瀬３丁目,28,0,22,0,5.5,3000,15
14,神奈川県川崎市幸区南加瀬４丁目,21,0,9,1,11.4,5000,65.74
15,神奈川県川崎市幸区南加瀬４丁目,21,0,9,1,11.3,7300,65.74
16,神奈川県川崎市幸区南加瀬４丁目,36,0,20,0,6.6,4000,35
17,神奈川県川崎市幸区南加瀬５丁目,12,0,10,1,9.2,3000,48.67
18,神奈川県川崎市幸区南加瀬５丁目,12,0,20,1,9.2,3000,48.67
19,神奈川県川崎市高津区久末,27,0,15,1,8.5,7000,64.3
20,神奈川県川崎市幸区南加瀬４丁目,34,0,23,0,8,5000,56.16
21,神奈川県川崎市幸区南加瀬５丁目,10,1,23,0,9.5,3000,46.09
22,神奈川県川崎市幸区南加瀬５丁目,10,1,23,0,8.1,3000,37.13
23,神奈川県川崎市中原区井田中ノ町,32,0,22,0,9,0,41.4
24,神奈川県川崎市中原区井田中ノ町,32,0,22,0,9.1,0,41.4
25,神奈川県川崎市中原区井田中ノ町,32,0,22,0,9,0,41.4
26,神奈川県横浜市港北区日吉本町６丁目,30,1,20,0,4.2,2000,15
27,神奈川県横浜市港北区下田町２丁目,13,0,13,0,6.5,2000,19.87
28,神奈川県横浜市港北区箕輪町１丁目,15,0,8,0,8.9,3000,26.32
29,神奈川県横浜市港北区下田町３丁目,19,0,22,0,9.5,3500,53.25
30,神奈川県横浜市港北区箕輪町３丁目,34,0,8,0,4.7,0,15
31,神奈川県川崎市幸区南加瀬４丁目,33,0,23,0,4.3,10500,16.68
32,神奈川県川崎市幸区南加瀬４丁目,33,0,23,0,4.2,5500,16.68
33,神奈川県川崎市幸区南加瀬４丁目,33,0,23,0,4,2000,16.54
34,神奈川県横浜市港北区綱島東５丁目,8,0,23,0,10.2,6500,43.93
35,神奈川県川崎市幸区南加瀬４丁目,18,0,13,0,6.3,7000,20.28
36,神奈川県川崎市幸区南加瀬４丁目,18,0,13,0,6,7000,19.87
37,神奈川県川崎市中原区井田三舞町,2,0,24,0,7,10000,14.43
38,神奈川県川崎市中原区井田三舞町,2,0,24,0,7.1,17000,14.43
39,神奈川県川崎市中原区井田三舞町,2,0,24,0,6.3,17000,14.43
40,神奈川県川崎市幸区南加瀬４丁目,3,0,26,0,7.45,5000,26.08
41,神奈川県川崎市幸区南加瀬４丁目,3,0,26,0,7.35,5000,26.08
42,神奈川県川崎市幸区南加瀬４丁目,3,0,26,0,7.35,5000,26.08
43,神奈川県横浜市港北区下田町３丁目,6,1,25,0,6.95,5000,22.07
44,神奈川県横浜市港北区下田町３丁目,6,1,25,0,6.95,5000,22.07
45,神奈川県横浜市港北区日吉本町２丁目,6,1,8,0,16.5,3000,88.72
46,神奈川県横浜市港北区日吉５丁目,17,1,18,0,6.6,0,23.41
47,神奈川県横浜市港北区日吉５丁目,33,0,22,0,6.2,1000,27.31
48,神奈川県横浜市港北区日吉５丁目,33,0,22,0,6.2,1000,29.97
49,神奈川県横浜市港北区日吉５丁目,33,0,22,0,6.2,1000,29.97
50,神奈川県川崎市幸区南加瀬３丁目,12,0,20,0,5.4,5000,25.11
51,神奈川県川崎市中原区木月１丁目,8,0,22,0,11,5000,33.15
52,神奈川県横浜市港北区綱島西６丁目,16,0,22,0,8.2,3000,39.14
53,神奈川県横浜市港北区日吉５丁目,30,0,17,0,8.6,2000,50.42
54,神奈川県横浜市港北区日吉５丁目,30,0,17,0,8.3,2000,41
55,神奈川県横浜市港北区綱島東３丁目,20,0,29,0,9.8,0,49.8
56,神奈川県横浜市港北区箕輪町２丁目,10,0,17,0,7.9,5000,33.15
57,神奈川県横浜市港北区日吉本町６丁目,40,1,26,0,4.1,2000,20.75
58,神奈川県横浜市港北区日吉本町６丁目,40,1,26,0,4,1000,20.75
59,神奈川県川崎市中原区木月４丁目,5,0,13,0,8,3000,27.53
60,神奈川県横浜市港北区箕輪町１丁目,28,0,10,0,9.5,0,42
61,神奈川県横浜市港北区箕輪町１丁目,28,0,10,0,6.5,0,20
62,神奈川県川崎市中原区木月４丁目,16,0,8,0,8.4,6000,25.42
63,神奈川県横浜市港北区下田町５丁目,4,0,23,0,10.1,4000,54.1
64,神奈川県川崎市幸区北加瀬３丁目,30,1,20,0,5.8,0,17.01
65,神奈川県川崎市幸区南加瀬２丁目,1,1,26,0,5.95,3500,12.5
66,神奈川県川崎市幸区南加瀬２丁目,1,1,26,0,5.8,3500,12.5
67,神奈川県川崎市幸区南加瀬２丁目,1,1,26,0,5.95,3500,12.5
68,神奈川県横浜市港北区高田東３丁目,22,0,28,0,10.5,5000,68.83
69,神奈川県川崎市中原区木月１丁目,29,0,15,0,6.5,2000,18.18
70,神奈川県横浜市港北区箕輪町３丁目,20,0,15,0,11.8,3000,59.91
71,神奈川県川崎市幸区南加瀬４丁目,10,0,6,1,10,3000,40.25
72,神奈川県川崎市幸区南加瀬４丁目,10,0,6,1,9.6,3000,40.25
73,神奈川県川崎市幸区南加瀬４丁目,10,0,6,1,9.6,3000,40.25
74,神奈川県横浜市港北区日吉２丁目,35,0,6,0,6.9,0,18.3
75,神奈川県横浜市港北区日吉２丁目,35,0,6,0,6.9,0,20
76,神奈川県横浜市港北区日吉２丁目,35,0,6,0,5.7,0,22.3
77,神奈川県横浜市港北区綱島東６丁目,7,0,28,0,12.05,4000,48.96
78,神奈川県横浜市港北区綱島東６丁目,7,0,28,0,15.3,4000,61.52
79,神奈川県横浜市港北区綱島東６丁目,7,0,28,0,15.4,4000,61.52
80,神奈川県横浜市港北区綱島東３丁目,22,0,27,0,10.3,8000,51.92
81,神奈川県横浜市港北区綱島東３丁目,22,0,27,0,10.3,8000,51.92
82,神奈川県横浜市港北区日吉５丁目,30,0,12,0,8.3,3000,39.73
83,神奈川県横浜市港北区日吉５丁目,30,0,12,0,8.3,3000,39.73
84,神奈川県横浜市港北区日吉５丁目,30,0,12,0,8.5,3000,39.73
85,神奈川県横浜市港北区日吉本町２丁目,23,0,15,0,10.3,3500,45.38
86,神奈川県横浜市鶴見区駒岡２丁目,9,1,16,1,11.4,3000,53.18
87,神奈川県横浜市港北区箕輪町３丁目,16,0,14,0,7.3,2000,27.09
88,神奈川県横浜市港北区下田町１丁目,20,1,15,0,7,3000,24.84
89,神奈川県横浜市港北区下田町１丁目,20,1,15,0,7.1,3000,24.84
90,神奈川県横浜市港北区日吉本町１丁目,26,0,3,0,7.2,5000,26.28
91,神奈川県横浜市港北区日吉本町１丁目,26,0,3,0,7.3,5000,29.4
92,神奈川県横浜市港北区日吉３丁目,16,0,10,0,8.4,4000,30.19
93,神奈川県横浜市港北区日吉３丁目,27,0,12,0,10.3,6000,42
94,神奈川県横浜市港北区日吉３丁目,27,0,12,0,10.2,6000,42
95,神奈川県横浜市港北区日吉本町１丁目,20,0,3,0,8.5,4000,30.16
96,神奈川県横浜市港北区日吉本町１丁目,20,0,3,0,8.6,4000,30.16
97,神奈川県横浜市港北区日吉本町１丁目,20,0,3,0,8.9,4000,30.16
98,神奈川県横浜市港北区日吉２丁目,38,1,10,0,5.9,3000,22.36
99,神奈川県横浜市港北区箕輪町２丁目,9,0,14,0,15.5,3000,72.31
100,神奈川県横浜市港北区箕輪町３丁目,29,0,14,0,7.4,1000,34.7
101,神奈川県横浜市港北区箕輪町３丁目,29,0,14,0,7.4,1000,34.7
103,神奈川県横浜市港北区日吉６丁目,18,0,20,0,9.9,4500,53.66
104,神奈川県川崎市中原区木月１丁目,31,0,18,0,7.7,6000,24.22
105,神奈川県川崎市中原区木月１丁目,31,0,18,0,7.7,6000,24.22
106,神奈川県川崎市中原区木月１丁目,31,0,18,0,7.7,6000,24.22
107,神奈川県川崎市幸区南加瀬２丁目,14,0,15,1,12.8,5000,61.03
