time,date,s,r,y,iv,cpi,dummy
1,Mar-60,982.1,8.19,3532.2,1000.5,48.3,0
2,Jun-60,1057,8.22,3696,896.3,48,0
3,Sep-60,1145.3,8.187,3936.6,1125.5,47.9,0
4,Dec-60,1282.2,8.093,5660.5,1262.8,48,0
5,Mar-61,1506,7.99,4237.3,1301.8,48.2,0
6,Jun-61,1656.4,7.893,4507.7,1205.4,48.7,0
7,Sep-61,1677.1,7.95,4744,1492.7,49,0
8,Dec-61,1356.3,8.153,6832.5,1698.3,48.8,0
9,Mar-62,1498.6,8.21,5114.2,1610.3,48.4,0
10,Jun-62,1406.3,8.223,5238,1424.1,47.7,0
11,Sep-62,1405.5,8.237,5368.2,1671.4,47.5,0
12,Dec-62,1367.4,8.173,7340.1,1822.2,47.6,0
13,Mar-63,1489.1,7.96,5519.9,1721.1,48.2,0
14,Jun-63,1575,7.807,5900.5,1554.8,48.4,0
15,Sep-63,1403.6,7.7,6319.8,1891.7,48.8,0
16,Dec-63,1294.8,7.677,8652.3,2158.9,48.9,0
17,Mar-64,1267.1,7.69,6692.2,2079.7,48.8,0
18,Jun-64,1277.5,7.923,7078.4,1862.2,48.4,0
19,Sep-64,1293.4,7.99,7471,2251.3,48.6,0
20,Dec-64,1213.5,7.99,9804.7,2457.5,48.8,0
21,Mar-65,1227.3,7.963,7594.3,2280.3,49.2,0
22,Jun-65,1126.8,7.877,7870.2,1965.2,49.1,0
23,Sep-65,1154.5,7.73,8410.9,2315.9,49,0
24,Dec-65,1304,7.637,10665,2477.7,49.3,0
25,Mar-66,1487,7.563,8539.5,2425.6,49.9,0
26,Jun-66,1539.7,7.51,9121.2,2332.6,50.1,0
27,Sep-66,1470.6,7.45,9898.9,2867.6,50.5,0
28,Dec-66,1419.3,7.39,12555.1,3057.4,50.9,0
29,Mar-67,1458.8,7.337,10146.1,3011.9,51.7,0
30,Jun-67,1464.1,7.3,10563.5,2849.2,51.2,0
31,Sep-67,1403.1,7.287,11580.5,3472.9,51.6,0
32,Dec-67,1322.2,7.337,14719.2,3867.7,52.2,0
33,Mar-68,1329.1,7.443,11948.4,3871.6,52.2,0
34,Jun-68,1467.6,7.52,12558.4,3523.6,52,0
35,Sep-68,1658.5,7.48,13577.8,4131.4,52.1,0
36,Dec-68,1724.1,7.387,17589.3,4705.4,52.4,0
37,Mar-69,1800.6,7.363,14021,4485.3,52.4,0
38,Jun-69,1924.9,7.357,14914.4,4252.8,52.7,0
39,Sep-69,1935.4,7.362,16160.8,5269.1,53.3,0
40,Dec-69,2164.6,7.541,20303,5804.3,54,0
41,Mar-70,2372.7,7.622,16997.9,5795.9,54.8,0
42,Jun-70,2211.7,7.648,17690.3,5257.5,55,0
43,Sep-70,2130.3,7.683,19200.9,6337.1,55,0
44,Dec-70,2058.1,7.697,23192.6,6673.9,54.8,0
45,Mar-71,2190,7.675,19051,6387.6,54.5,0
46,Jun-71,2465.9,7.638,19604.4,5594.4,54.5,0
47,Sep-71,2496.2,7.571,20955.9,6572.6,54.5,0
48,Dec-71,2390.7,7.489,25201.5,6982.5,54.3,0
49,Mar-72,2924.5,7.34,21360.9,7051.4,54.4,0
50,Jun-72,3447.4,7.186,22146,6172.6,54.7,0
51,Sep-72,3982.8,6.906,24077.2,7502.2,55.2,0
52,Dec-72,4665.9,6.75,29517.4,8402.1,57,0
53,Mar-73,5121.4,6.71,25661.4,8763.7,59.7,0
54,Jun-73,4681.9,6.889,27052.9,7960.1,61.7,0
